Código da Peça;Estoque (DataLake);Preço Público (DataLake);Preço Original (Coluna H);Preço Estratégico (+40%)
04C-115-105-E;Pendente;Pendente;233,81;327,33
04E-115-105-BM;Pendente;Pendente;1517,82;2124,95
04E-115-105-M;Pendente;Pendente;248,37;347,72
030-115-636-D;Pendente;Pendente;15,04;21,06
059-121-012-B;Pendente;Pendente;1149,87;1609,81
2GB-121-203-J;Pendente;Pendente;1083,63;1517,08
5QM-121-203-L;Pendente;Pendente;1524,29;2134
5U0-121-207-B;Pendente;Pendente;239,17;334,84
2QB-121-251-A;Pendente;Pendente;910,69;1274,97
5U0-121-253-C;Pendente;Pendente;275,97;386,36
2Q0-121-321-A;Pendente;Pendente;126,30;176,82
5U0-121-407-C;Pendente;Pendente;37,16;52,03
5U0-122-101;Pendente;Pendente;21,57;30,20
5Q0-122-291-BB;Pendente;Pendente;73,90;103,47
5Q0-122-291-DA;Pendente;Pendente;83,14;116,40
032-145-276;Pendente;Pendente;275,97;386,36
04E-145-299-E;Pendente;Pendente;565,73;792,03
04E-145-299-N;Pendente;Pendente;612,65;857,71
030-145-933-AC;Pendente;Pendente;43,33;60,66
04E-145-933-AD;Pendente;Pendente;40,93;57,31
04E-145-933-M;Pendente;Pendente;32,33;45,27
03L-198-119-F;Pendente;Pendente;1709,05;2392,67
030-198-955-A;Pendente;Pendente;68,73;96,22
030-198-955-B;Pendente;Pendente;52,75;73,85
030-198-955-C;Pendente;Pendente;37,88;53,03
06J-260-849-D;Pendente;Pendente;157,97;221,16
5U0-711-049-H;Pendente;Pendente;328,40;459,76
811-711-279;Pendente;Pendente;5,27;7,37
823-711-594-B;Pendente;Pendente;6,56;9,18
823-711-813;Pendente;Pendente;3,70;5,17
5U0-820-160-A;Pendente;Pendente;11,50;16,10
1S0-820-411-K;Pendente;Pendente;757,52;1060,53
JZZ-820-803;Pendente;Pendente;1228,67;1720,13
1S0-825-250-A;Pendente;Pendente;30,19;42,26
059-903-137-CC;Pendente;Pendente;277,14;388
06L-903-137-A;Pendente;Pendente;161,67;226,33
03L-903-191-A;Pendente;Pendente;348,64;488,10
038-903-315-AN;Pendente;Pendente;469,15;656,80
1SB-959-455;Pendente;Pendente;415,71;582
5U0-959-493;Pendente;Pendente;48,96;68,55
2GX-857-705-  -RAA;Pendente;Pendente;294,37;412,11
2GX-857-706-  -RAA;Pendente;Pendente;294,37;412,11
